#
# $Id: frequenze.data 68 2014-02-18 23:49:56Z nicb $
#
12|9|3148.624|-0.01|+0.1
12|10|3058.940|+0.02|+0.1
12|11|2887.156|+0.04|+0.1
12|12|2971.807|+0.06|+0.1
12|13|280.339|+0.7|+0.8
#
13|1|235.712|-1|-0.9
13|2|204.000|-1|-0.7
13|3|264.596|-1|-0.5
13|4|228.998|-1|-0.3
13|5|209.981|-1|+0.2
13|6|242.623|-0.9|+0.4
13|7|249.737|-0.7|+0.6
13|8|120.049|-1|+1.5
13|9|257.059|-0.4|+0.8
13|10|216.137|+0.4|+0.8
13|11|222.475|+0.5|+0.8
13|12|113.307|+1|+2|
13|13|116.630|+1.5|+2|
#
14a|1|60.00|-0.1|+0.2
14a|2|61.75|-0.3|+0.4
14a|3|63.56|-0.5|+0.6
14a|4|65.43|-0.7|+0.8
14a|5|67.35|-0.9|+1
14a|6|69.32|-0.1|+0.2
14a|7|71.35|-0.3|+0.4
14a|8|73.45|-0.5|+0.6
14a|9|75.60|-0.7|+0.8
14a|10|77.82|-0.9|+1
14a|11|80.10|-0.1|+0.2
14a|12|82.45|-0.5|+0.6
14a|13|84.87|-0.9|+1
#
14b|1|4718.75|-0.01|+0.02
14b|2|4584.33|-0.03|+0.04
14b|3|4453.75|-0.05|+0.06
14b|4|4326.89|-0.07|+0.08
14b|5|4203.64|-0.09|+0.1
14b|6|4083.90|-0.01|+0.02
14b|7|3967.57|-0.03|+0.04
14b|8|3854.55|-0.05|+0.06
14b|9|3744.75|-0.07|+0.08
14b|10|3638.09|-0.09|+0.1
14b|11|3534.46|-0.01|+0.02
14b|12|3433.78|-0.05|+0.06
14b|13|3335.97|-0.09|+0.1
