
Modulo: 01 (Inizio:    0.0000, Fine:  240.0000)
   L:07 F: 209.980 (ACD: +0.40, +0.60), at: 105.0008 d:  98.9992 fine: 204.0000
   L:08 F: 249.730 (ACE: +0.40, +0.80), at: 104.6210 d:  93.3790 fine: 198.0000
   L:09 F: 216.130 (ACF: +0.40, +1.00), at: 102.8404 d:  89.1596 fine: 192.0000
   L:10 F: 222.470 (ACG: +0.40, -0.10), at:  99.8609 d:  86.1391 fine: 186.0000
   L:11 F: 242.620 (ACH: +0.40, -0.30), at:  95.2507 d:  84.7493 fine: 180.0000
   L:12 F: 264.590 (ACI: +0.40, -0.50), at:  90.8815 d:  83.1185 fine: 174.0000
   L:13 F: 374.270 (ACL: +0.40, -0.70), at:  85.6210 d:  82.3790 fine: 168.0000

Modulo: 06 (Inizio:  307.6923, Fine:  547.6923)
   L:01 F: 981.100 (ABL: +0.20, -0.70), at:   0.0000 d: 240.0000 fine: 240.0000
   L:02 F: 953.100 (ABM: +0.20, -0.90), at:  43.5000 d: 191.2500 fine: 234.7500
   L:03 F:1009.800 (ACD: +0.40, +0.60), at:  70.4509 d: 159.0491 fine: 229.5000
   L:04 F: 926.000 (ACE: +0.40, +0.80), at:  90.0002 d: 134.2498 fine: 224.2500
   L:05 F:1039.400 (ACF: +0.40, +1.00), at: 100.3502 d: 118.6498 fine: 219.0000
   L:06 F: 899.600 (ACG: +0.40, -0.10), at: 107.2511 d: 106.4989 fine: 213.7500
   L:07 F:1069.900 (ACH: +0.40, -0.30), at: 109.5008 d:  98.9992 fine: 208.5000
   L:08 F: 874.000 (ACI: +0.40, -0.50), at: 109.8710 d:  93.3790 fine: 203.2500
   L:09 F:1101.300 (ACL: +0.40, -0.70), at: 108.8404 d:  89.1596 fine: 198.0000
   L:10 F: 849.100 (ACM: +0.40, -0.90), at: 106.6109 d:  86.1391 fine: 192.7500
   L:11 F:1133.600 (ADE: +0.60, +0.80), at: 102.7507 d:  84.7493 fine: 187.5000
   L:12 F: 824.900 (ADF: +0.60, +1.00), at:  99.1315 d:  83.1185 fine: 182.2500
   L:13 F:1166.800 (ADG: +0.60, -0.10), at:  94.6210 d:  82.3790 fine: 177.0000

Modulo: 07 (Inizio:  350.7692, Fine:  590.7692)
   L:01 F: 204.000 (ACM: +0.40, -0.90), at:   0.0000 d: 240.0000 fine: 240.0000
   L:02 F: 305.720 (ADE: +0.60, +0.80), at:  44.2500 d: 191.2500 fine: 235.5000
   L:03 F: 209.980 (ADF: +0.60, +1.00), at:  71.9509 d: 159.0491 fine: 231.0000
   L:04 F: 408.000 (ADG: +0.60, -0.10), at:  92.2502 d: 134.2498 fine: 226.5000
   L:05 F: 363.610 (ADH: +0.60, -0.30), at: 103.3502 d: 118.6498 fine: 222.0000
   L:06 F: 353.250 (ADI: +0.60, -0.50), at: 111.0011 d: 106.4989 fine: 217.5000
   L:07 F: 396.540 (ADL: +0.60, -0.70), at: 114.0008 d:  98.9992 fine: 213.0000
   L:08 F: 333.410 (ADM: +0.60, -0.90), at: 115.1210 d:  93.3790 fine: 208.5000
   L:09 F: 385.240 (AEF: +0.80, +1.00), at: 114.8404 d:  89.1596 fine: 204.0000
   L:10 F: 374.270 (AEG: +0.80, -0.10), at: 113.3609 d:  86.1391 fine: 199.5000
   L:11 F: 343.190 (AEH: +0.80, -0.30), at: 110.2507 d:  84.7493 fine: 195.0000
   L:12 F: 314.690 (AEI: +0.80, -0.50), at: 107.3815 d:  83.1185 fine: 190.5000
   L:13 F: 222.470 (AEL: +0.80, -0.70), at: 103.6210 d:  82.3790 fine: 186.0000

Modulo: 08 (Inizio:  387.6923, Fine:  627.6923)
   L:01 F: 542.860 (ABC: +0.02, +0.04), at:   0.0000 d: 240.0000 fine: 240.0000
   L:02 F: 542.860 (ABF: +0.02, +0.10), at:  45.0000 d: 191.2500 fine: 236.2500
   L:03 F: 542.860 (ABI: +0.02, -0.05), at:  73.4509 d: 159.0491 fine: 232.5000
   L:04 F: 542.860 (ACD: +0.04, +0.06), at:  94.5002 d: 134.2498 fine: 228.7500
   L:05 F: 542.860 (ACG: +0.04, -0.01), at: 106.3502 d: 118.6498 fine: 225.0000
   L:06 F: 542.860 (ACL: +0.04, -0.07), at: 114.7511 d: 106.4989 fine: 221.2500
   L:07 F: 542.860 (ADF: +0.06, +0.10), at: 118.5008 d:  98.9992 fine: 217.5000
   L:08 F: 542.860 (ADI: +0.06, -0.05), at: 120.3710 d:  93.3790 fine: 213.7500
   L:09 F: 542.860 (AEF: +0.08, +0.10), at: 120.8404 d:  89.1596 fine: 210.0000
   L:10 F: 542.860 (AEI: +0.08, -0.05), at: 120.1109 d:  86.1391 fine: 206.2500
   L:11 F: 542.860 (AFG: +0.10, -0.01), at: 117.7507 d:  84.7493 fine: 202.5000
   L:12 F: 542.860 (AFL: +0.10, -0.07), at: 115.6315 d:  83.1185 fine: 198.7500
   L:13 F: 542.860 (AGI: -0.01, -0.05), at: 112.6210 d:  82.3790 fine: 195.0000

Modulo: 09 (Inizio:  418.4615, Fine:  658.4615)
   L:01 F: 408.000 (AEM: +0.80, -0.90), at:   0.0000 d: 240.0000 fine: 240.0000
   L:02 F: 693.600 (ADH: +0.60, -0.30), at:  45.7500 d: 191.2500 fine: 237.0000
   L:03 F: 396.540 (AFG: +1.00, -0.10), at:  74.9509 d: 159.0491 fine: 234.0000
   L:04 F: 734.800 (ADI: +0.60, -0.50), at:  96.7502 d: 134.2498 fine: 231.0000
   L:05 F: 353.250 (AFH: +1.00, -0.30), at: 109.3502 d: 118.6498 fine: 228.0000
   L:06 F: 824.900 (ADL: +0.60, -0.70), at: 118.5011 d: 106.4989 fine: 225.0000
   L:07 F: 385.240 (AFI: +1.00, -0.50), at: 123.0008 d:  98.9992 fine: 222.0000
   L:08 F: 801.400 (ADM: +0.60, -0.90), at: 125.6210 d:  93.3790 fine: 219.0000
   L:09 F: 305.720 (AFL: +1.00, -0.70), at: 126.8404 d:  89.1596 fine: 216.0000
   L:10 F: 756.400 (AEF: +0.80, +1.00), at: 126.8609 d:  86.1391 fine: 213.0000
   L:11 F: 343.190 (AFM: +1.00, -0.90), at: 125.2507 d:  84.7493 fine: 210.0000
   L:12 F:1009.800 (AEG: +0.80, -0.10), at: 123.8815 d:  83.1185 fine: 207.0000
   L:13 F: 323.910 (AGH: -0.10, -0.30), at: 121.6210 d:  82.3790 fine: 204.0000

Modulo: 10 (Inizio:  443.0769, Fine:  683.0769)
   L:01 F: 374.270 (AGI: -0.10, -0.50), at:   0.0000 d: 240.0000 fine: 240.0000
   L:02 F: 713.900 (AEH: +0.80, -0.30), at:  46.5000 d: 191.2500 fine: 237.7500
   L:03 F: 333.410 (AGL: -0.10, -0.70), at:  76.4509 d: 159.0491 fine: 235.5000
   L:04 F: 849.100 (AEI: +0.80, -0.50), at:  99.0002 d: 134.2498 fine: 233.2500
   L:05 F: 296.990 (AGM: -0.10, -0.90), at: 112.3502 d: 118.6498 fine: 231.0000
   L:06 F: 981.100 (AEL: +0.80, -0.70), at: 122.2511 d: 106.4989 fine: 228.7500
   L:07 F: 363.610 (AHI: -0.30, -0.50), at: 127.5008 d:  98.9992 fine: 226.5000
   L:08 F: 778.500 (AEM: +0.80, -0.90), at: 130.8710 d:  93.3790 fine: 224.2500
   L:09 F: 314.690 (AHL: -0.30, -0.70), at: 132.8404 d:  89.1596 fine: 222.0000
   L:10 F: 874.000 (AFG: +1.00, -0.10), at: 133.6109 d:  86.1391 fine: 219.7500
   L:11 F: 272.350 (AHM: -0.30, -0.90), at: 132.7507 d:  84.7493 fine: 217.5000
   L:12 F: 953.100 (AFH: +1.00, -0.30), at: 132.1315 d:  83.1185 fine: 215.2500
   L:13 F: 288.550 (AIL: -0.50, -0.70), at: 130.6210 d:  82.3790 fine: 213.0000

Modulo: 11 (Inizio:  461.5385, Fine:  701.5385)
   L:01 F:1309.800 (AFI: +1.00, -0.50), at:   0.0000 d: 240.0000 fine: 240.0000
   L:02 F:1387.200 (AFL: +1.00, -0.70), at:  47.2500 d: 191.2500 fine: 238.5000
   L:03 F:1272.500 (AFM: +1.00, -0.90), at:  77.9509 d: 159.0491 fine: 237.0000
   L:04 F:2358.240 (ADE: +0.06, +0.08), at: 101.2502 d: 134.2498 fine: 235.5000
   L:05 F:2427.540 (ADF: +0.06, +0.10), at: 115.3502 d: 118.6498 fine: 234.0000
   L:06 F:1039.400 (AGH: -0.10, -0.30), at: 126.0011 d: 106.4989 fine: 232.5000
   L:07 F:2647.390 (ADG: +0.06, -0.01), at: 132.0008 d:  98.9992 fine: 231.0000
   L:08 F:2725.010 (ADH: +0.06, -0.03), at: 136.1210 d:  93.3790 fine: 229.5000
   L:09 F:2571.980 (ADI: +0.06, -0.05), at: 138.8404 d:  89.1596 fine: 228.0000
   L:10 F:1348.200 (AGI: -0.10, -0.50), at: 140.3609 d:  86.1391 fine: 226.5000
   L:11 F:1069.900 (AGL: -0.10, -0.70), at: 140.2507 d:  84.7493 fine: 225.0000
   L:12 F:2498.720 (ADL: +0.06, -0.07), at: 140.3815 d:  83.1185 fine: 223.5000
   L:13 F:1201.000 (AGM: -0.10, -0.90), at: 139.6210 d:  82.3790 fine: 222.0000

Modulo: 12 (Inizio:  473.8462, Fine:  713.8462)
   L:01 F: 894.600 (AHI: -0.30, -0.50), at:   0.0000 d: 240.0000 fine: 240.0000
   L:02 F:1236.200 (AHL: -0.30, -0.70), at:  48.0000 d: 191.2500 fine: 239.2500
   L:03 F:1101.300 (AHM: -0.30, -0.90), at:  79.4509 d: 159.0491 fine: 238.5000
   L:04 F: 926.000 (AIL: -0.50, -0.70), at: 103.5002 d: 134.2498 fine: 237.7500
   L:05 F:1133.600 (AIM: -0.50, -0.90), at: 118.3502 d: 118.6498 fine: 237.0000
   L:06 F:1166.800 (ALM: -0.70, -0.90), at: 129.7511 d: 106.4989 fine: 236.2500
   L:07 F:4716.480 (ADM: +0.06, -0.09), at: 136.5008 d:  98.9992 fine: 235.5000
   L:08 F:2804.910 (AEF: +0.08, +0.10), at: 141.3710 d:  93.3790 fine: 234.7500
   L:09 F:3148.620 (AEG: +0.08, -0.01), at: 144.8404 d:  89.1596 fine: 234.0000
   L:10 F:3058.940 (AEH: +0.08, -0.03), at: 147.1109 d:  86.1391 fine: 233.2500
   L:11 F:2887.150 (AEI: +0.08, -0.05), at: 147.7507 d:  84.7493 fine: 232.5000
   L:12 F:2971.800 (AEL: +0.08, -0.07), at: 148.6315 d:  83.1185 fine: 231.7500
   L:13 F: 280.330 (AIM: -0.50, -0.90), at: 148.6210 d:  82.3790 fine: 231.0000

Modulo: 13 (Inizio:  480.0000, Fine:  720.0000)
   L:01 F: 235.710 (ALM: -0.70, -0.90), at:   0.0000 d: 240.0000 fine: 240.0000
   L:02 F: 204.000 (ABC: +0.20, +0.40), at:  48.7500 d: 191.2500 fine: 240.0000
   L:03 F: 264.590 (ABD: +0.20, +0.60), at:  80.9509 d: 159.0491 fine: 240.0000
   L:04 F: 228.990 (ABE: +0.20, +0.80), at: 105.7502 d: 134.2498 fine: 240.0000
   L:05 F: 209.980 (ABF: +0.20, +1.00), at: 121.3502 d: 118.6498 fine: 240.0000
   L:06 F: 242.620 (ABG: +0.20, -0.10), at: 133.5011 d: 106.4989 fine: 240.0000
   L:07 F: 249.730 (ABH: +0.20, -0.30), at: 141.0008 d:  98.9992 fine: 240.0000
   L:08 F: 120.000 (AEG: +0.80, -0.10), at: 146.6210 d:  93.3790 fine: 240.0000
   L:09 F: 257.050 (ABI: +0.20, -0.50), at: 150.8404 d:  89.1596 fine: 240.0000
   L:10 F: 216.130 (ABL: +0.20, -0.70), at: 153.8609 d:  86.1391 fine: 240.0000
   L:11 F: 222.470 (ABM: +0.20, -0.90), at: 155.2507 d:  84.7493 fine: 240.0000
   L:12 F: 113.300 (AEH: +0.80, -0.30), at: 156.8815 d:  83.1185 fine: 240.0000
   L:13 F: 116.630 (AEI: +0.80, -0.50), at: 157.6210 d:  82.3790 fine: 240.0000

Modulo: 14a (Inizio:    0.0000, Fine:  720.0000)
   L:01 F:  60.000 (ABC: +0.20, +0.40), at:   0.0000 d: 720.0000 fine: 720.0000
   L:02 F:  61.750 (ABE: +0.20, +0.80), at:  35.2500 d: 573.7500 fine: 609.0000
   L:03 F:  63.560 (ABG: +0.20, -0.10), at:  53.9509 d: 477.1473 fine: 531.0982
   L:04 F:  65.430 (ABI: +0.20, -0.50), at:  65.2502 d: 402.7495 fine: 467.9996
   L:05 F:  67.350 (ABM: +0.20, -0.90), at:  67.3502 d: 355.9494 fine: 423.2996
   L:06 F:  69.320 (ACE: +0.40, +0.80), at:  66.0011 d: 319.4966 fine: 385.4978
