#
# $Id: ampiezze.data 68 2014-02-18 23:49:56Z nicb $
#
# format:
# <nominal amp>|<60-120 amps>|<204-408 amps>|<693.6 1387.2 amps>|<2358.4 4716.8 amps>
#
50|58|55|53|50.5|50|50|50|54
45|55|51|48.5|46.25|45|45|45|49.5
40|52|47|44|41|40|40|40|43
30|45|39|36|32|30|30|30|32
